날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2021-12-20,618.39,618.91,606.53,607.83,13788639,304855696150,90001253213450
2021-12-21,610.88,617.03,608.48,612.51,16103391,327640991220,90704343523845
2021-12-22,617.42,618.69,610.68,613.43,16851334,297898757385,90884982725340
2021-12-23,615.68,618.14,609.28,613.81,23586570,367841598320,90980359761125
2021-12-24,616.18,618.68,612.7,613.48,18394571,276587409515,90952436989410
2021-12-27,614.16,614.48,606.96,608.12,16108928,332698580590,90292868042755
2021-12-28,609.3,610.51,603.14,607.34,22179456,584075094960,90163869934940
2021-12-29,609.14,619.1,605.54,617.07,30790256,551848428960,91391250580400
2021-12-30,616.02,620.14,611.99,613.82,15582252,370774927335,91048868368630
2022-01-03,618.4,621.15,612.15,618.35,15094286,304319064140,91699908829610
2022-01-04,617.7,618.23,611.69,617.05,15633652,352034193430,91599015023595
2022-01-05,613.67,618.72,609.61,613.52,22296823,1049191389280,91094308191815
2022-01-06,608.17,614.28,603.03,603.45,19465074,574754124260,89694187165725
2022-01-07,602.47,610.18,601.5,609.02,13872563,342336561685,90501107204885
2022-01-10,608.03,611.55,602.19,604.27,16741419,335421925015,89830599459650
2022-01-11,601.4,607.98,594.95,598.17,16585927,315617219801,88897984784360
2022-01-12,601.84,610.2,601.72,608.74,83865500,434690639535,90519896571930
2022-01-13,609.56,616.39,609.35,610.26,30116895,528963554420,90706220196995
2022-01-14,608.41,609.08,600.04,602.14,26690619,410565846505,89418764552625
2022-01-17,604.84,606.43,589.7,592.0,22544196,485662363014,87885444708945
2022-01-18,593.94,594.42,580.69,581.37,17267554,347751794354,86190914339155
2022-01-19,576.04,584.97,575.44,579.26,15124498,295562671895,85917312195080
2022-01-20,583.39,588.49,580.38,587.63,15884019,387991123685,87126286050935
2022-01-21,583.9,588.48,581.11,586.62,22658242,317651506135,86937630923765
2022-01-24,585.2,587.85,567.64,569.45,13398971,385681527050,84470379756365
2022-01-25,569.58,570.51,549.02,552.52,15905302,399176078445,82031339044915
2022-01-26,554.85,561.63,552.03,556.42,11610313,305344380000,82444667507425
2022-01-27,556.42,562.15,536.92,536.92,14885792,438660839965,79546306138580
2022-01-28,542.86,555.49,533.36,554.28,15582463,422417362800,82118588749840
2022-02-03,562.76,567.98,559.8,562.51,14362001,399408661615,83274823614730
2022-02-04,562.35,576.33,559.22,575.13,12103202,356655040010,85062480564875
2022-02-07,574.71,576.49,567.54,575.42,28376138,505986466070,84802270124660
2022-02-08,581.89,587.56,575.24,582.39,25872177,438077799649,85801569425970
2022-02-09,587.91,589.43,583.25,586.53,16275648,364853176712,86395702825900
2022-02-10,590.28,592.34,584.21,588.94,38378318,495523950598,86918844707785
2022-02-11,582.0,587.98,579.12,582.34,30205774,420545665985,85984001018005
2022-02-14,579.14,581.44,570.68,577.79,37213965,515694286290,85262191673980
2022-02-15,583.17,584.72,572.36,573.65,47687716,774830642815,84741663142155
2022-02-16,583.93,584.99,579.18,582.39,21949772,414165824945,86039967780165
2022-02-17,585.31,604.08,582.96,595.54,93287120,1158946081795,87860484990405
2022-02-18,588.56,606.01,587.39,603.98,48924578,876714960275,89112830066610
2022-02-21,596.77,606.23,594.47,605.4,28625263,600357907575,89284440493885
2022-02-22,597.17,610.15,594.73,600.26,48653999,1023528416460,88490453795300
2022-02-23,606.75,609.01,599.83,604.11,37697364,660632032545,89091776157430
2022-02-24,600.21,603.73,590.92,593.37,35106191,681682658045,87605562080125
2022-02-25,600.75,602.4,591.29,597.82,35585916,671319140295,88149311069045
2022-02-28,597.54,608.99,594.07,605.82,56580245,844503752785,89328054020060
2022-03-02,606.82,614.08,605.76,610.02,30369522,700513669419,89994097126410
2022-03-03,613.15,624.15,610.66,623.34,43406697,732870352070,92015727901120
2022-03-04,624.56,647.48,621.94,638.32,109192362,2491318617410,93987783136810
2022-03-07,638.32,640.44,621.56,622.27,49822151,1283572646145,91706708318110
2022-03-08,617.53,624.18,612.25,616.46,43540552,1073528579115,90918321901025
2022-03-10,625.49,629.69,621.87,625.72,33670255,816028823285,92527476283140
2022-03-11,625.15,627.04,620.08,626.23,38616183,1435460345809,185253819550705
2022-03-14,624.61,627.32,617.6,623.09,31920478,1525371864515,179330640367325
2022-03-15,620.02,621.86,609.17,609.57,33885337,1125369285525,176252062825975
2022-03-16,618.3,620.32,614.11,619.05,30380858,899889159865,178608358463335
2022-03-17,626.98,629.6,622.32,623.79,40625621,1003344749395,181715083834555
2022-03-18,626.14,635.75,624.57,635.46,31306224,1066043851395,184854671675585
2022-03-21,638.17,639.42,627.85,628.85,27324862,810500903985,184388025933080
2022-03-22,629.16,635.94,628.88,634.57,27838085,925841396690,187640190054080
2022-03-23,639.2,640.84,633.88,636.5,31589517,729106594635,189777141073665
2022-03-24,633.2,639.75,629.64,639.26,19674128,564141564355,190375828540225
2022-03-25,643.25,644.43,637.63,641.21,25915766,1132603346965,196631476730880
2022-03-28,638.16,644.39,634.4,639.23,47291671,799460423805,195811085792115
2022-03-29,643.85,644.57,634.73,636.81,26379895,760345738205,196367287628245
2022-03-30,638.41,640.77,635.73,639.15,39202325,704104335135,197189793773300
2022-03-31,639.06,645.27,638.37,644.27,300433842,1039793383230,198392250433770
2022-04-01,642.79,643.06,637.57,639.32,358586724,1467467300260,194685495127940
2022-04-04,635.86,644.32,635.54,643.53,96426504,741193049295,197410235801395
2022-04-05,644.2,645.27,640.16,644.43,170579814,881215187935,199560423638060
2022-04-06,639.93,643.07,637.75,641.3,83887338,804189878740,198072732058190
2022-04-07,634.46,635.05,625.01,625.77,57600755,775955984495,193902314681035
2022-04-08,629.42,630.99,620.8,627.02,49103748,588256478515,194715989033570
2022-04-11,625.82,631.65,621.12,623.8,38008179,541445522145,191421093276755
2022-04-12,620.36,623.99,615.9,619.13,31332975,556441320085,187898382417275
2022-04-13,621.33,631.94,619.9,631.68,63250133,627748425635,193979664727685
2022-04-14,635.56,637.57,630.48,637.16,37091280,702228781680,196928448444420
2022-04-15,631.4,638.09,628.81,634.14,30754633,584333978790,195219574249355
2022-04-18,632.5,636.39,631.07,633.43,34035320,434797000030,194729481378660
2022-04-19,636.76,639.01,633.05,639.01,30317694,549417061470,196228560018955
2022-04-20,640.8,641.89,632.87,635.23,24657109,531481305565,195761877056520
2022-04-21,638.13,642.34,636.28,641.56,36180737,515241550300,196986210306745
2022-04-22,636.58,636.68,630.42,635.49,110000705,660054713490,195823062824945
2022-04-25,629.24,629.35,620.77,622.04,34485731,609501657150,192791011255690
2022-04-26,625.8,627.0,619.85,625.94,28813768,655795256855,191613918902205
2022-04-27,612.29,623.91,608.64,621.97,31817538,1152996538520,189925729970620
2022-04-28,626.12,635.61,620.14,635.61,35546683,694930807285,192402233080780
2022-04-29,635.56,638.29,631.38,638.03,45946696,633695268100,192735770557660
2022-05-02,631.81,643.79,631.42,643.45,53499254,773666220520,192099496632330
2022-05-03,643.61,646.16,640.44,640.8,43606514,589025094450,191262781374315
2022-05-04,644.11,645.4,637.99,641.82,194318197,919367878350,190283484074815
2022-05-06,636.68,649.44,635.21,648.1,526520481,1932555740125,191264867680750
2022-05-09,646.52,648.96,635.76,639.63,169550880,936996640220,188289007527900
2022-05-10,631.42,634.52,621.81,632.24,129311329,875034163350,186930635515460
2022-05-11,631.34,635.89,629.26,634.63,85029583,814594152980,186985739194510
2022-05-12,630.97,644.05,629.94,633.6,113774359,1091174296625,186218425371710
2022-05-13,640.7,646.13,637.17,645.92,67301528,690793964670,190873286869895
2022-05-16,650.01,650.57,639.31,642.7,150245676,800187590210,190341968177680
2022-05-17,643.35,647.27,642.37,645.85,54251874,498856052675,192514496517470
2022-05-18,648.55,651.47,642.83,644.83,44776926,499590334180,192548924260485
2022-05-19,637.42,639.46,630.27,638.2,67807814,638956443725,192494898804200
2022-05-20,642.3,652.71,641.53,650.3,37899023,784175389205,198094973193515
2022-05-23,655.5,658.78,651.27,658.43,100710466,815936874555,200173967649415
2022-05-24,658.08,665.3,655.08,655.57,59767432,738988188595,199717574718970
2022-05-25,658.38,661.87,653.49,657.07,38718646,658502905835,197704944830025
2022-05-26,656.77,663.98,655.64,659.96,29895205,462770238825,198895179717765
2022-05-27,666.3,670.5,662.89,669.89,43668453,584033062420,200574632587175
2022-05-30,674.13,676.59,667.81,669.14,74195095,808587510410,202262935544905
2022-05-31,668.99,674.95,665.87,674.95,93539978,952710786650,204173923230655
2022-06-02,670.42,671.3,665.33,666.3,106073441,720022831555,201990143033030
2022-06-03,672.23,672.28,664.34,670.44,58346671,548627320700,202111726789125
2022-06-07,670.5,672.1,664.79,666.41,39363239,704759795430,200144128503185
2022-06-08,668.22,668.88,660.34,662.62,34322849,525781783145,198272722094830
2022-06-09,657.57,660.74,653.04,659.84,47268232,711288276250,197208812862245
2022-06-10,652.78,657.0,649.05,656.19,34190850,601459950675,196994678362320
2022-06-13,645.13,650.58,635.23,636.18,42490080,660246083090,191508359557725
2022-06-14,627.8,640.7,623.73,638.86,50549065,766478075700,194128812161105
2022-06-15,640.64,642.54,620.98,623.73,39830999,687552469815,190305487420175
2022-06-16,631.51,637.36,623.05,624.94,33421440,608622070250,191851894276665
2022-06-17,616.68,622.25,611.38,621.46,37274608,992184887153,190992457872840
2022-06-20,625.81,626.35,601.09,604.19,34612400,622570028005,185229790509280
2022-06-21,609.56,616.71,601.56,612.87,24583804,549086905215,187040985870065
2022-06-22,616.23,616.23,592.88,592.88,33707064,611925361489,181218897701295
2022-06-23,593.83,598.75,575.38,580.02,47588249,780096676785,178703594915160
2022-06-24,582.17,592.4,577.91,590.0,28665523,497628496220,181500054093620
2022-06-27,594.17,605.95,589.2,603.55,32612822,463581286710,185236471112180
2022-06-28,602.27,615.32,601.11,614.27,25430494,461263064064,186817763466135
2022-06-29,605.96,615.64,603.1,613.27,26336193,584797609865,183038340480505
2022-06-30,611.83,612.32,602.41,602.41,25447559,583613889845,177201908469785
2022-07-01,605.94,611.3,595.2,599.34,24818035,634384745760,173806606117610
2022-07-04,602.35,604.56,582.2,589.72,28090293,545626225360,172151135923555
2022-07-05,595.21,598.16,586.92,597.34,21108858,507313360310,174521015474610
2022-07-06,594.14,595.58,573.8,574.25,26569812,672642149435,172078063549590
2022-07-07,581.2,586.8,576.21,584.06,23388347,407705095558,174334101045435
2022-07-08,587.54,595.18,585.49,588.52,19795046,483318631260,177990600719305
2022-07-11,589.95,590.7,580.4,581.89,19281468,421112886005,178177099128410
2022-07-12,579.43,579.88,571.22,576.16,23477047,456420574305,178398119062865
2022-07-13,577.04,582.45,570.93,577.82,29253825,434291494130,178461534560760
2022-07-14,575.85,583.0,572.24,578.56,28864898,446161063715,178995105142385
2022-07-15,579.74,580.92,564.61,572.18,28091327,374101445360,177973772125770
2022-07-18,576.22,583.29,572.38,581.44,20172050,380094007580,178255549771165
2022-07-19,581.2,586.9,578.82,583.77,19617006,428626137035,176770406585590
2022-07-20,591.03,591.75,583.42,585.16,17707286,434117224910,177239941305735
2022-07-21,584.9,591.54,584.3,590.07,16681067,333967308650,179413848957955
2022-07-22,588.15,592.0,585.76,588.12,20708391,465617345490,177372467730710
2022-07-25,585.24,597.99,584.52,596.58,16809421,633898155600,180557310747145
2022-07-26,595.59,602.16,594.24,598.04,17865761,549692557005,181445042402085
2022-07-27,597.51,600.19,593.07,599.59,14553373,1266669221070,181581777368060
2022-07-28,605.86,610.9,604.94,608.54,23742679,1098597809290,187387690902855
2022-07-29,612.52,622.92,610.67,622.09,38173688,1485775607420,190875008062955
2022-08-01,621.34,627.64,620.05,621.44,26541804,717666078120,190182074212185
2022-08-02,622.1,623.45,614.52,617.99,26417951,736398597560,189137818048650
2022-08-03,617.64,624.65,616.15,623.1,17351291,678041415915,193866122832145
2022-08-04,628.93,629.62,622.66,627.05,21155824,711213880645,195640640812600
2022-08-05,628.32,632.41,627.05,629.54,21616872,644050924835,196678473234490
2022-08-08,628.61,638.25,627.9,637.19,26325857,937443624080,198218068821340
2022-08-09,638.06,641.05,634.32,639.44,23405696,994090100595,200815188264135
2022-08-10,640.36,642.87,636.78,640.75,23388557,590596590540,201214072681005
2022-08-11,646.99,650.9,646.19,650.81,29734815,1036409057605,205715211023110
2022-08-12,651.76,657.2,645.11,648.2,33421712,951165377045,203144534465965
2022-08-16,650.95,653.84,645.15,646.19,31476692,786646749505,202752028422540
2022-08-17,647.21,649.05,638.1,641.21,21564754,602425603515,200494671221925
2022-08-18,637.76,643.69,634.57,638.73,17836483,606637248680,199729466843300
2022-08-19,640.35,640.47,634.2,634.31,19876903,490714863805,198059192831145
2022-08-22,627.45,632.75,626.25,629.49,17194034,479873010030,196409782543220
2022-08-23,626.64,632.65,625.85,626.64,21784638,635177479730,196379530444875
2022-08-24,631.42,639.96,630.36,639.17,31663631,908704851600,199708148789420
2022-08-25,641.94,647.75,640.54,647.17,37067734,767948741895,202666454572090
2022-08-26,650.79,653.4,646.74,652.25,63668724,1492423070695,204708195818030
2022-08-29,635.41,642.88,633.51,639.67,101038363,1031139174435,201213618879970
2022-08-30,643.28,644.66,635.32,637.23,46780423,796614285765,202080671386680
2022-08-31,633.8,643.66,628.66,643.17,67669872,972222166665,202449015416605
2022-09-01,637.63,640.78,627.52,627.6,55550736,868528005527,199827318092775
2022-09-02,631.79,634.59,626.26,630.15,34533497,832754607530,203881082281730
2022-09-05,629.55,634.52,623.57,627.26,31100305,760831400585,203614252179560
2022-09-06,628.33,631.95,624.16,627.92,20274466,550662781905,203853830203615
2022-09-07,625.73,628.26,611.92,616.12,29624708,806358027065,202707099613465
2022-09-08,619.65,621.65,612.56,615.25,34299954,1223516685858,202368706883675
2022-09-13,624.38,626.26,617.06,624.16,32417161,1133948484607,206002368589105
2022-09-14,611.95,619.53,607.59,617.83,28550158,791402106120,205184245480015
2022-09-15,620.92,625.68,618.96,621.34,22247029,814057355380,208241938117275
2022-09-16,617.63,620.03,608.03,611.72,33948411,1262609402690,205688342400180
2022-09-19,611.14,611.89,592.73,593.9,22903866,810692408820,197051103291890
2022-09-20,600.56,607.49,599.88,605.82,16391111,569070225155,200251411564560
2022-09-21,602.72,610.37,601.95,605.12,19348230,513835742780,199324772851820
2022-09-22,599.42,605.38,594.32,604.69,21749923,610118262520,200959882739075
2022-09-23,603.79,603.79,580.36,580.65,22288816,646777890895,191387937009195
2022-09-26,572.65,574.81,554.93,557.58,34926735,934048782110,184571263466895
2022-09-27,559.43,566.32,553.61,564.05,33990783,848307460365,185210621361925
2022-09-28,559.22,566.09,543.57,550.68,29887958,770752855300,180713539316140
2022-09-29,558.77,563.08,549.59,551.11,25480980,688866451130,182021075704960
2022-09-30,546.65,553.52,538.82,542.79,23616992,572702252575,177926183417670
2022-10-04,549.94,559.55,545.03,558.31,20796725,628206737940,184184494071635
2022-10-05,568.23,569.32,553.97,557.82,19938954,659231410405,188796329568320
2022-10-06,560.44,568.38,558.35,565.43,14835240,455466438580,191955086330315
2022-10-07,560.23,566.38,558.48,564.15,21130907,708585418765,192682691726395
2022-10-11,554.81,557.54,550.83,555.82,19162442,655472018740,194129129436055
2022-10-12,552.28,553.92,541.21,552.43,18682084,596502434180,190714350696170
2022-10-13,551.74,552.97,537.43,537.52,28657167,727557504110,187044625878695
2022-10-14,547.69,558.36,545.69,554.18,35850947,582684163160,191155397940040
2022-10-17,546.75,556.67,541.23,556.65,18479211,509036755320,193224136999760
2022-10-18,565.55,567.4,558.0,565.78,20637952,552584390705,194277026543265
2022-10-19,567.7,572.77,563.53,565.77,17095855,536254639230,195812104458780
2022-10-20,565.13,570.43,560.7,567.46,17162637,544658103315,195649750675300
2022-10-21,564.98,567.13,559.4,561.49,17986562,393907625580,195421877452780
2022-10-24,569.67,575.27,565.58,568.61,21818090,498142610270,198552168592640
2022-10-25,570.71,572.25,561.43,563.7,22447237,525050328795,198000307865475
2022-10-26,566.42,571.86,564.76,570.3,13700330,477205929735,202590361091215
2022-10-27,577.68,590.44,577.28,589.46,63298754,620933999190,208105919331935
2022-10-28,587.61,595.36,585.98,589.45,25006443,581041330550,206582836591760
2022-10-31,595.66,596.09,585.65,593.45,21797772,754043483340,206485321720860
2022-11-01,595.54,610.7,592.96,610.53,130294076,903486561140,216201815167085
2022-11-02,607.57,616.56,606.08,608.52,54537600,855137854145,217021862087355
2022-11-03,598.56,616.76,596.83,613.79,49886280,728442759130,221769729325755
2022-11-04,615.86,623.09,614.71,623.08,75698595,803109082440,223916790184015
2022-11-07,627.29,628.19,618.83,623.31,43638129,762214597175,223167197189390
2022-11-08,628.06,632.02,622.38,631.72,31241476,654465034235,224761560196280
2022-11-09,634.91,638.28,630.98,634.85,40140605,598273411680,227435600987185
2022-11-10,632.09,639.89,629.68,632.4,26784278,621028348780,228141169461145
2022-11-11,647.58,652.83,642.79,649.98,41553208,847585518645,234826709334670
2022-11-14,649.54,653.95,640.48,642.34,107072193,902693431465,229740966074620
2022-11-15,643.22,645.24,638.59,643.09,37112746,610297318488,228400526738380
2022-11-16,646.9,647.59,633.37,643.04,56428461,645129148705,229174972815945
2022-11-17,643.01,645.43,629.98,629.98,41307136,475441119250,226254642980880
2022-11-18,630.59,641.11,629.33,632.78,28474816,539101805710,226901610874305
